complaint,category
"मैं लगभग रुपये की नकदी की चोरी की रिपोर्ट करना चाहता हूं। 15,000 जो बोरीवली में हुआ। यह घटना मेरे कॉलेज जाते समय मुख्य बाजार क्षेत्र के पास घटी। जब मुझे एहसास हुआ कि यह गायब है, तो मैंने तुरंत आसपास की जाँच की लेकिन कुछ नहीं मिला। मुझे संदेह है कि इसे किसी ऐसे व्यक्ति ने चुराया है जो कुछ समय से मेरा पीछा कर रहा था। चोरी गए सामान की अनुमानित कीमत करीब तीन लाख रुपये है। 1,00,000. मैंने स्थानीय दुकानदारों को पहले ही सूचित कर दिया है कि उन्हें कुछ भी असामान्य दिखे। मैं पुलिस से मामले की जांच करने और मेरा सामान बरामद करने में मदद करने का अनुरोध करता हूं। यदि उपलब्ध हो तो मैं कोई भी अतिरिक्त विवरण या सीसीटीवी फुटेज स्थान प्रदान करने के लिए तैयार हूं।",चोरी
"मुझे मेरे पूर्व-साथी द्वारा ब्लैकमेल किया जा रहा है जो मेरे बारे में निजी जानकारी उजागर करने की धमकी दे रहा है। ब्लैकमेल की कोशिशें 18 तारीख को स्नैपचैट पर संदेशों के जरिए शुरू हुईं। वे रुपये मांग रहे हैं. 35,000 न देने पर वे मुझे सार्वजनिक रूप से बदनाम करने की धमकी देते हैं। मैंने अब तक उनकी कोई भी मांग नहीं मानी है।' लगातार मिल रही इन धमकियों से मानसिक दबाव असहनीय होता जा रहा है। मैंने इस मामले से जुड़े सभी मैसेज और कॉल का रिकॉर्ड रखा है.' मैं इस ब्लैकमेल को रोकने और मेरी गोपनीयता की रक्षा के लिए तत्काल कार्रवाई का अनुरोध करता हूं। कृपया सलाह दें कि मैं इस व्यक्ति के खिलाफ क्या कानूनी कदम उठा सकता हूं।",ब्लैकमेल
"व्हाट्सएप पर कोई मुझे बार-बार अनुचित संदेश और टिप्पणियां भेज रहा है। यह उत्पीड़न पिछले महीने की 10 तारीख को शुरू हुआ और हाल ही में इसकी आवृत्ति में वृद्धि हुई है। उस व्यक्ति ने मेरे सार्वजनिक पोस्ट पर भी अश्लील टिप्पणी की है.' मैंने उन्हें समझाने की कोशिश की, लेकिन उन्होंने और भी अश्लील संदेश जारी रखे। उन्होंने मेरे दोस्तों और परिवार को भी शर्मनाक और झूठे पोस्ट में टैग किया। मैं बेहद परेशान हूं और अब शांति से सोशल मीडिया का इस्तेमाल नहीं कर पा रहा हूं।' मेरा अनुरोध है कि खाते का पता लगाया जाए और उचित कार्रवाई की जाए। मैं अपनी शिकायत के समर्थन में आवश्यक स्क्रीनशॉट संलग्न कर रहा हूं।",साइबर उत्पीड़न
"मैं कोथरुड में एक अज्ञात व्यक्ति द्वारा लगातार किए जा रहे उत्पीड़न की रिपोर्ट करना चाहती हूं। यह पिछले दो सप्ताह से शुरू हुआ और तब से बंद नहीं हुआ है. कोई अनजान व्यक्ति दूसरों के सामने मेरे बारे में अपमानजनक टिप्पणियाँ करता रहता है। जब मैं काम से लौट रही थी तो मेरे घर के पास इस व्यक्ति ने फिर से मेरे साथ दुर्व्यवहार किया। मैंने उनसे विनम्रतापूर्वक रुकने के लिए कहा, लेकिन वे मुझे परेशान करते रहे। इससे मेरी मानसिक शांति प्रभावित हो रही है और मुझे अकेले बाहर निकलने में डर लगता है।' मैं पुलिस से जिम्मेदार व्यक्ति के खिलाफ सख्त कार्रवाई करने का अनुरोध करता हूं।' मैं जांच के लिए आवश्यक कोई भी अतिरिक्त विवरण प्रदान करने के लिए तैयार हूं।",उत्पीड़न
"मैं नागपुर शहर में अपने पड़ोसी से लगातार हो रहे उत्पीड़न की रिपोर्ट करना चाहती हूं। यह पिछले शुक्रवार को शुरू हुआ और तब से रुका नहीं है। मेरा पड़ोसी दूसरों के सामने मेरे बारे में अपमानजनक टिप्पणियाँ करता रहता है। दो दिन पहले इस व्यक्ति ने मेरे घर के पास फिर मेरे साथ गलत हरकत की. मैंने उनसे विनम्रतापूर्वक रुकने के लिए कहा, लेकिन वे मुझे परेशान करते रहे। इससे मेरी मानसिक शांति प्रभावित हो रही है और मुझे अकेले बाहर निकलने में डर लगता है।' मैं पुलिस से जिम्मेदार व्यक्ति के खिलाफ सख्त कार्रवाई करने का अनुरोध करता हूं।' मैं जांच के लिए आवश्यक कोई भी अतिरिक्त विवरण प्रदान करने के लिए तैयार हूं।",उत्पीड़न
"मैं नासिक रोड स्थित अपने आवास पर अपने ससुराल वालों द्वारा झेली जा रही घरेलू हिंसा की रिपोर्ट करना चाहती हूं। शारीरिक और मानसिक शोषण पिछले शुक्रवार से जारी है। छोटी-छोटी घरेलू बातों पर अक्सर मुझे पीटा जाता है और गाली-गलौज की जाती है। उन्होंने मुझे बिना किसी सहारे के घर से बाहर निकाल देने की धमकी भी दी है. मेरे बच्चों ने ये घटनाएं देखी हैं, जिसका उन पर बुरा असर पड़ा है.' मैंने इसे शांतिपूर्ण तरीके से सुलझाने की कोशिश की है, लेकिन दुर्व्यवहार बढ़ता ही जा रहा है। मैं इस दुरुपयोग के लिए जिम्मेदार लोगों के खिलाफ सुरक्षा और कानूनी कार्रवाई का अनुरोध करता हूं। यदि आवश्यक हुआ तो मैं मेडिकल रिकॉर्ड और गवाहों के बयान उपलब्ध कराने के लिए तैयार हूं।",घरेलू हिंसा
"मेरे पड़ोसी द्वारा मुझे ब्लैकमेल किया जा रहा है जो मेरे बारे में निजी जानकारी उजागर करने की धमकी दे रहा है। पिछले दो सप्ताह से अज्ञात फोन नंबर पर मैसेज के जरिए ब्लैकमेल की कोशिशें शुरू हो गईं। वे रुपये मांग रहे हैं. 2,50,000 न देने पर वे मुझे सार्वजनिक रूप से बदनाम करने की धमकी देते हैं। मैंने अब तक उनकी कोई भी मांग नहीं मानी है।' लगातार मिल रही इन धमकियों से मानसिक दबाव असहनीय होता जा रहा है। मैंने इस मामले से जुड़े सभी मैसेज और कॉल का रिकॉर्ड रखा है.' मैं इस ब्लैकमेल को रोकने और मेरी गोपनीयता की रक्षा के लिए तत्काल कार्रवाई का अनुरोध करता हूं। कृपया सलाह दें कि मैं इस व्यक्ति के खिलाफ क्या कानूनी कदम उठा सकता हूं।",ब्लैकमेल
"मैं वाकाड में एक अजनबी द्वारा लगातार किए जा रहे उत्पीड़न की रिपोर्ट करना चाहती हूं। यह इस महीने की 3 तारीख को शुरू हुआ और तब से बंद नहीं हुआ है। कोई अजनबी दूसरों के सामने मेरे बारे में अपमानजनक टिप्पणियाँ करता रहता है। आधी रात के करीब इस शख्स ने मेरे घर के पास फिर से मेरे साथ गलत हरकत की. मैंने उनसे विनम्रतापूर्वक रुकने के लिए कहा, लेकिन वे मुझे परेशान करते रहे। इससे मेरी मानसिक शांति प्रभावित हो रही है और मुझे अकेले बाहर निकलने में डर लगता है।' मैं पुलिस से जिम्मेदार व्यक्ति के खिलाफ सख्त कार्रवाई करने का अनुरोध करता हूं।' मैं जांच के लिए आवश्यक कोई भी अतिरिक्त विवरण प्रदान करने के लिए तैयार हूं।",उत्पीड़न
"मैं रिपोर्ट करना चाहता हूं कि मेरा पूर्व साथी टेलीग्राम का उपयोग करके मुझे ब्लैकमेल कर रहा है। 18 तारीख को इस शख्स ने मेरी निजी तस्वीरें और जानकारी लीक करने की धमकी दी है. वे रुपये की मांग कर रहे हैं. सामग्री को सार्वजनिक न करने के बदले में 50,000 रु. मैंने पैसे देने से इनकार कर दिया है, जिसके बाद धमकियां और भी बढ़ गई हैं. इस ब्लैकमेल से मुझे गंभीर मानसिक तनाव और सामाजिक शर्मिंदगी का डर सता रहा है। मैंने सभी चैट वार्तालाप और स्क्रीनशॉट को साक्ष्य के रूप में सहेजा है। मैं साइबर अपराध विभाग से जांच करने और सख्त कार्रवाई करने का अनुरोध करता हूं।' मैं यह सुनिश्चित करने के लिए पूरा सहयोग करने को तैयार हूं कि इस व्यक्ति को जवाबदेह ठहराया जाए।",ब्लैकमेल
"मैं रिपोर्ट करना चाहता हूं कि मेरा पड़ोसी एक अज्ञात फोन नंबर का उपयोग करके मुझे ब्लैकमेल कर रहा है। इस महीने की 3 तारीख से इस व्यक्ति ने मेरी निजी तस्वीरें और जानकारी लीक करने की धमकी दी है। वे रुपये की मांग कर रहे हैं. सामग्री को सार्वजनिक न करने के बदले में 2,50,000 रु. मैंने पैसे देने से इनकार कर दिया है, जिसके बाद धमकियां और भी बढ़ गई हैं. इस ब्लैकमेल से मुझे गंभीर मानसिक तनाव और सामाजिक शर्मिंदगी का डर सता रहा है। मैंने सभी चैट वार्तालाप और स्क्रीनशॉट को साक्ष्य के रूप में सहेजा है। मैं साइबर अपराध विभाग से जांच करने और सख्त कार्रवाई करने का अनुरोध करता हूं।' मैं यह सुनिश्चित करने के लिए पूरा सहयोग करने को तैयार हूं कि इस व्यक्ति को जवाबदेह ठहराया जाए।",ब्लैकमेल
मैं दादर में हुई छेड़छाड़ की एक घटना की रिपोर्ट करना चाहता हूं। जब मैं बाजार से वापस आ रही थी तो चलते समय एक अनजान आदमी ने मुझ पर अश्लील कमेंट किए। उन्होंने सीटियां भी बजाईं और मेरे और मेरे दोस्त की ओर अनुचित इशारे भी किए। जब मैंने उन्हें नज़रअंदाज कर दूर जाने की कोशिश की तो उन्होंने कुछ दूर तक पीछा किया। इस तरह के व्यवहार से मुझे अकेले यात्रा करते समय असुरक्षित महसूस होने लगा है। क्षेत्र की अन्य महिलाओं को भी उसी स्थान पर इसी तरह के उत्पीड़न का सामना करना पड़ा है। मैं ऐसी घटनाओं को रोकने के लिए इस क्षेत्र में पुलिस गश्त बढ़ाने का अनुरोध करता हूं। यदि लाइन-अप या सीसीटीवी समीक्षा की व्यवस्था की जाती है तो मैं व्यक्तियों की पहचान करने के लिए तैयार हूं।,ईव टीज़िंग
"मैं नागपुर शहर में देखी गई एक संदिग्ध गतिविधि की रिपोर्ट करना चाहता हूं। पिछले शुक्रवार से, अज्ञात व्यक्ति विषम समय में परित्यक्त इमारत के पास इकट्ठा हो रहे हैं। निवासियों को संदेह है कि रात में वहां कुछ अवैध गतिविधि हो सकती है। उस स्थान से तेज़ आवाज़ें और कभी-कभार बहसें सुनाई देती रही हैं। इससे आसपास रहने वाले परिवारों में सुरक्षा संबंधी चिंताएं बढ़ गई हैं। स्थानीय वार्ड कार्यालय को सूचित करने के बावजूद कोई आधिकारिक कार्रवाई नहीं की गई है। मैं अधिकारियों से इस मामले की जांच करने और निवासियों की सुरक्षा सुनिश्चित करने का अनुरोध करता हूं। यदि आवश्यक हुआ तो मैं अधिक विवरण प्रदान करने या अधिकारियों के साथ जाने को तैयार हूं।",अन्य
"व्हाट्सएप पर कोई मुझे बार-बार अनुचित संदेश और टिप्पणियां भेज रहा है। यह उत्पीड़न पिछले शुक्रवार को शुरू हुआ और हाल ही में इसकी आवृत्ति में वृद्धि हुई है। उस व्यक्ति ने मेरे सार्वजनिक पोस्ट पर भी अश्लील टिप्पणी की है.' मैंने उन्हें समझाने की कोशिश की, लेकिन उन्होंने और भी अश्लील संदेश जारी रखे। उन्होंने मेरे दोस्तों और परिवार को भी शर्मनाक और झूठे पोस्ट में टैग किया। मैं बेहद परेशान हूं और अब शांति से सोशल मीडिया का इस्तेमाल नहीं कर पा रहा हूं।' मेरा अनुरोध है कि खाते का पता लगाया जाए और उचित कार्रवाई की जाए। मैं अपनी शिकायत के समर्थन में आवश्यक स्क्रीनशॉट संलग्न कर रहा हूं।",साइबर उत्पीड़न
"मैं नासिक रोड पर हुई अपनी पत्नी के हैंडबैग की चोरी की रिपोर्ट करना चाहता हूं। यह घटना कल शाम मुख्य बाजार क्षेत्र के पास हुई। जब मुझे एहसास हुआ कि यह गायब है, तो मैंने तुरंत आसपास की जाँच की लेकिन कुछ नहीं मिला। मुझे संदेह है कि इसे किसी ऐसे व्यक्ति ने चुराया है जो कुछ समय से मेरा पीछा कर रहा था। चोरी गए सामान की अनुमानित कीमत करीब तीन लाख रुपये है। 12,000. मैंने स्थानीय दुकानदारों को पहले ही सूचित कर दिया है कि उन्हें कुछ भी असामान्य दिखे। मैं पुलिस से मामले की जांच करने और मेरा सामान बरामद करने में मदद करने का अनुरोध करता हूं। यदि उपलब्ध हो तो मैं कोई भी अतिरिक्त विवरण या सीसीटीवी फुटेज स्थान प्रदान करने के लिए तैयार हूं।",चोरी
"मैं हडपसर में टूटी हुई स्ट्रीट लाइट और क्षतिग्रस्त फुटपाथ की रिपोर्ट करना चाहता हूं जिससे सुरक्षा संबंधी समस्याएं पैदा हो रही हैं। बिना किसी मरम्मत कार्य के यह समस्या इस महीने की तीसरी तारीख से बनी हुई है। इस इलाके में बुजुर्गों और बच्चों को सुरक्षित चलने में काफी दिक्कत होती है। बारिश के दौरान इलाके में पानी भर जाता है, जिससे गिरने का खतरा बढ़ जाता है। यहां लोगों के फिसलने और घायल होने की कुछ घटनाएं हो चुकी हैं। मैं अन्य निवासियों के साथ इस सार्वजनिक बुनियादी ढांचे की तत्काल मरम्मत का अनुरोध करता हूं। इससे रोजाना गुजरने वाले राहगीरों और वाहनों को लगातार खतरा बना हुआ है। मैं इस मामले को सुलझाने के लिए नगर निगम अधिकारियों से त्वरित कार्रवाई का अनुरोध करता हूं।",सार्वजनिक सुरक्षा
मुझे और मेरे परिवार को पिंपरी में रहने वाले मेरे समाज के एक व्यक्ति द्वारा परेशान किया जा रहा है। पिछले महीने की 10 तारीख से उत्पीड़न जारी है। जब भी वे मुझे देखते हैं तो भद्दे कमेंट करते हैं और परेशानी पैदा करने की कोशिश करते हैं। दो दिन पहले स्थिति तब और खराब हो गई जब वे मुझसे सीधे भिड़ गए। इस लगातार उत्पीड़न के कारण मैं काम पर जाने में असुरक्षित महसूस करती हूं। मेरे परिवार के सदस्यों ने भी कई मौकों पर इस व्यवहार को देखा है। मैं तत्काल हस्तक्षेप का अनुरोध करता हूं ताकि यह उत्पीड़न स्थायी रूप से बंद हो जाए। कृपया मेरी शिकायत दर्ज कर आवश्यक कानूनी कार्रवाई करें।,उत्पीड़न
मैं कल्याण में अपने पूर्व-प्रेमी द्वारा पीछा किए जाने के संबंध में शिकायत दर्ज करना चाहती हूं। पिछले महीने की 10 तारीख से यह व्यक्ति लगभग हर दिन मेरा पीछा कर रहा है। जब मैं बाज़ार से वापस आ रहा था तो मैंने देखा कि वही व्यक्ति फिर से मेरे घर के बाहर इंतज़ार कर रहा था। वे भी मेरे पीछे-पीछे मेरे कार्यस्थल तक आते हैं और गेट के पास इंतजार करते हैं। मैंने देखा है कि एक ही वाहन कई बार मेरे ऑटो-रिक्शा का पीछा कर रहा है। इस निरंतर अनुसरण ने मुझे अपनी सुरक्षा के लिए अत्यधिक चिंतित और भयभीत कर दिया है। मैं पुलिस से जांच करने और इस व्यक्ति को मेरा पीछा करने से रोकने का अनुरोध करता हूं। मैं उस व्यक्ति की पहचान करने और जरूरत पड़ने पर और विवरण प्रदान करने को तैयार हूं।,स्टॉकिंग
मैं कल्याण में हुई छेड़छाड़ की एक घटना की रिपोर्ट करना चाहता हूं। आधी रात के करीब जब मैं टहल रही थी तो कुछ युवकों ने मुझ पर अश्लील टिप्पणियाँ कीं। उन्होंने सीटियां भी बजाईं और मेरे और मेरे दोस्त की ओर अनुचित इशारे भी किए। जब मैंने उन्हें नज़रअंदाज कर दूर जाने की कोशिश की तो उन्होंने कुछ दूर तक पीछा किया। इस तरह के व्यवहार से मुझे अकेले यात्रा करते समय असुरक्षित महसूस होने लगा है। क्षेत्र की अन्य महिलाओं को भी उसी स्थान पर इसी तरह के उत्पीड़न का सामना करना पड़ा है। मैं ऐसी घटनाओं को रोकने के लिए इस क्षेत्र में पुलिस गश्त बढ़ाने का अनुरोध करता हूं। यदि लाइन-अप या सीसीटीवी समीक्षा की व्यवस्था की जाती है तो मैं व्यक्तियों की पहचान करने के लिए तैयार हूं।,ईव टीज़िंग
