complaint,category
"I want to report that I have received serious threats from my brother-in-law in Kalyan. Since since the last two weeks, this person has been threatening to harm me and my family. They have warned me of dire consequences if I do not comply with their demands. The threats have been made both in person and over phone calls. I am extremely worried about the safety of my family due to these threats. I have not responded to any of their demands, which has escalated their anger. I request police protection and immediate action against the person threatening me. I can provide call recordings and witness details to support this complaint.",Threat
"This is to report a theft incident involving my wife's handbag in the Dadar locality. It occurred around midnight, when I had briefly stepped away from the spot. On returning, I found that my belongings had been taken by someone unknown. The estimated loss is approximately Rs. 20,000, which is a significant amount for me. There were a few people nearby, but no one noticed the theft taking place. I have checked with nearby shops and residents, but there is no lead yet. I request that the case be registered and investigated at the earliest. I am willing to cooperate fully with the investigation process.",Theft
"I want to file a complaint regarding stalking by a senior at my workplace in Aundh. Since since the last two weeks, this person has been following me almost every day. During my evening walk, I noticed the same person waiting outside my house again. They also follow me to my workplace and wait near the gate. I have noticed the same vehicle following my auto-rickshaw multiple times. This constant following has made me extremely anxious and fearful for my safety. I request the police to investigate and stop this person from stalking me. I am willing to identify the person and provide further details if needed.",Stalking
"Someone on an unknown phone number has been repeatedly sending me inappropriate messages and comments. This harassment began a few days ago and has increased in frequency recently. The person has also commented obscene things on my public posts. I tried to reason with them, but they continued with more vulgar messages. They also tagged my friends and family in embarrassing and false posts. I am extremely disturbed and unable to use social media peacefully anymore. I request that the account be tracked down and appropriate action be taken. I am attaching the necessary screenshots to support my complaint.",Cyber Harassment
"I want to report an incident of eve teasing that happened in Baner. Yesterday evening, a man at the bus stop passed vulgar comments at me while I was walking. They also whistled and made inappropriate gestures towards me and my friend. When I tried to ignore them and walk away, they followed for some distance. This kind of behaviour has made me feel unsafe while commuting alone. Other women in the area have also faced similar harassment at the same spot. I request increased police patrolling in this area to prevent such incidents. I am ready to identify the individuals if a line-up or CCTV review is arranged.",Eve Teasing
"I want to file a complaint regarding stalking by my colleague in Hadapsar. Since on the 18th, this person has been following me almost every day. Around midnight, I noticed the same person waiting outside my house again. They also follow me to my workplace and wait near the gate. I have noticed the same vehicle following my auto-rickshaw multiple times. This constant following has made me extremely anxious and fearful for my safety. I request the police to investigate and stop this person from stalking me. I am willing to identify the person and provide further details if needed.",Stalking
"I am filing a complaint regarding threats issued to me by my ex-boyfriend residing in Kalyan. The threats began 3rd of this month after a minor dispute between us. They have threatened to attack me and damage my property if I speak up. This has caused significant fear and anxiety for me and my family members. I have avoided any confrontation, but the threats have continued regardless. Neighbours in the area are also aware of the tension and can confirm this. I request that appropriate legal action be taken to ensure my safety. Please treat this matter with urgency given the serious nature of the threats.",Threat
"I want to report that a senior at my workplace is blackmailing me using a dating app. Since on the 18th, this person has threatened to leak my private photos and information. They are demanding Rs. 2,50,000 in exchange for not making the content public. I have refused to pay, after which the threats have become more frequent. This blackmail has caused me severe mental stress and fear of social embarrassment. I have saved all the chat conversations and screenshots as evidence. I request the cyber crime department to investigate and take strict action. I am willing to cooperate fully to ensure this person is held accountable.",Blackmail
"Someone on Facebook has been repeatedly sending me inappropriate messages and comments. This harassment began a few days ago and has increased in frequency recently. The person has also commented obscene things on my public posts. I tried to reason with them, but they continued with more vulgar messages. They also tagged my friends and family in embarrassing and false posts. I am extremely disturbed and unable to use social media peacefully anymore. I request that the account be tracked down and appropriate action be taken. I am attaching the necessary screenshots to support my complaint.",Cyber Harassment
"I am being blackmailed by my husband who is threatening to expose personal information about me. The blackmail attempts started 2nd august through messages on Facebook. They are asking for Rs. 8,000 failing which they threaten to defame me publicly. I have not given in to any of their demands so far. The mental pressure from these continuous threats is becoming unbearable. I have kept records of all the messages and calls related to this matter. I request immediate action to stop this blackmail and protect my privacy. Please advise on the legal steps I can take against this person.",Blackmail
"Someone on Facebook has been repeatedly sending me inappropriate messages and comments. This harassment began 2nd august and has increased in frequency recently. The person has also commented obscene things on my public posts. I tried to reason with them, but they continued with more vulgar messages. They also tagged my friends and family in embarrassing and false posts. I am extremely disturbed and unable to use social media peacefully anymore. I request that the account be tracked down and appropriate action be taken. I am attaching the necessary screenshots to support my complaint.",Cyber Harassment
"This is to report a theft incident involving my two-wheeler in the Nagpur city locality. It occurred when I was coming back from the market, when I had briefly stepped away from the spot. On returning, I found that my belongings had been taken by someone unknown. The estimated loss is approximately Rs. 2,50,000, which is a significant amount for me. There were a few people nearby, but no one noticed the theft taking place. I have checked with nearby shops and residents, but there is no lead yet. I request that the case be registered and investigated at the earliest. I am willing to cooperate fully with the investigation process.",Theft
"I am filing this complaint against my husband for continuous domestic abuse at home. Since 10th of last month, I have been subjected to physical assault and harassment. I am also denied basic necessities and confined to the house without reason. There have been repeated threats of violence whenever I try to speak up. My relatives are aware of the situation and can testify to the abuse. I fear for my safety and the safety of my children living with me. I request immediate protection and appropriate legal action under the law. Kindly guide me regarding shelter and legal support available for my situation.",Domestic Violence
"I want to report continuous harassment I am facing from a shopkeeper nearby in Camp area. It started 3rd of this month and has not stopped since then. A shopkeeper nearby keeps passing insulting comments about me in front of others. Last week, this person again misbehaved with me near my house. I have asked them politely to stop, but they continue to trouble me. This is affecting my mental peace and I am scared to step out alone. I request the police to take strict action against the person responsible. I am ready to provide any further details required for the investigation.",Harassment
"I want to report that I am being harassed online through Instagram. An unknown user has been sending me abusive and threatening messages since 3rd of this month. They have also created a fake profile using my photos without my consent. This person is messaging my friends and relatives with objectionable content about me. I have tried blocking the account, but new fake accounts keep appearing. This online harassment is causing me a lot of stress and embarrassment. I request cyber crime cell to trace the account and take strict action. I can share screenshots and chat history as proof of the harassment.",Cyber Harassment
"I want to file a general safety complaint regarding noise and nuisance in Thane. For for the past one month, a nearby establishment has been operating loudly beyond permitted hours. This has disturbed the peace of the neighbourhood, especially for elderly residents and children. Repeated requests to the owners to reduce noise have been ignored. The situation escalates on weekends when the disturbance continues till late night. Several neighbours have joined together to raise this issue with local authorities. I request necessary action to ensure the noise levels are brought under control. Kindly look into this matter at the earliest for the well-being of residents.",Other
"A person, identified as my ex-partner, has been stalking me for 2nd august now. During my evening walk, they were seen standing near my college gate watching me. They repeatedly try to talk to me even after I have refused multiple times. My friends have also noticed this person following me on different days. This person seems to know my daily routine, which is very concerning. I fear this may escalate into something more dangerous if not stopped. I request that strict action be taken against this individual immediately. Please guide me on the next steps to ensure my safety.",Stalking
"I want to report that my ex-partner is blackmailing me using a dating app. Since 2nd august, this person has threatened to leak my private photos and information. They are demanding Rs. 35,000 in exchange for not making the content public. I have refused to pay, after which the threats have become more frequent. This blackmail has caused me severe mental stress and fear of social embarrassment. I have saved all the chat conversations and screenshots as evidence. I request the cyber crime department to investigate and take strict action. I am willing to cooperate fully to ensure this person is held accountable.",Blackmail
"I want to report continuous harassment I am facing from my ex-partner in Kothrud. It started 22nd June and has not stopped since then. My ex-partner keeps passing insulting comments about me in front of others. During my evening walk, this person again misbehaved with me near my house. I have asked them politely to stop, but they continue to trouble me. This is affecting my mental peace and I am scared to step out alone. I request the police to take strict action against the person responsible. I am ready to provide any further details required for the investigation.",Harassment
"I want to report continuous harassment I am facing from my ex-husband in Dadar. It started 3rd of this month and has not stopped since then. My ex-husband keeps passing insulting comments about me in front of others. During my evening walk, this person again misbehaved with me near my house. I have asked them politely to stop, but they continue to trouble me. This is affecting my mental peace and I am scared to step out alone. I request the police to take strict action against the person responsible. I am ready to provide any further details required for the investigation.",Harassment
"I want to report a broken streetlight and damaged footpath in Camp area causing safety issues. This problem has persisted for 2nd august without any repair work being done. Elderly people and children find it very difficult to walk safely in this area. During the rains, the area gets waterlogged, increasing the risk of falls. There have been a few incidents of people slipping and getting injured here. I along with other residents request immediate repair of this public infrastructure. This poses a continuous risk to pedestrians and vehicles passing through daily. I request quick action from the municipal authorities to resolve this matter.",Public Safety
"I want to report a broken streetlight and damaged footpath in Nagpur city causing safety issues. This problem has persisted for 15th july without any repair work being done. Elderly people and children find it very difficult to walk safely in this area. During the rains, the area gets waterlogged, increasing the risk of falls. There have been a few incidents of people slipping and getting injured here. I along with other residents request immediate repair of this public infrastructure. This poses a continuous risk to pedestrians and vehicles passing through daily. I request quick action from the municipal authorities to resolve this matter.",Public Safety
"A person, identified as my brother-in-law, has been stalking me for 10th of last month now. Around midnight, they were seen standing near my college gate watching me. They repeatedly try to talk to me even after I have refused multiple times. My friends have also noticed this person following me on different days. This person seems to know my daily routine, which is very concerning. I fear this may escalate into something more dangerous if not stopped. I request that strict action be taken against this individual immediately. Please guide me on the next steps to ensure my safety.",Stalking
"I am filing a complaint regarding threats issued to me by an unidentified man residing in Borivali. The threats began 15th july after a minor dispute between us. They have threatened to attack me and damage my property if I speak up. This has caused significant fear and anxiety for me and my family members. I have avoided any confrontation, but the threats have continued regardless. Neighbours in the area are also aware of the tension and can confirm this. I request that appropriate legal action be taken to ensure my safety. Please treat this matter with urgency given the serious nature of the threats.",Threat
"I want to report a suspicious activity noticed in Sadar Bazar. Since since the last two weeks, unknown individuals have been gathering near the abandoned building at odd hours. Residents suspect some illegal activity may be taking place there at night. There have been loud noises and occasional arguments heard from the location. This has raised safety concerns among the families living nearby. No official action has been taken despite informing the local ward office. I request the authorities to investigate this matter and ensure resident safety. I am willing to provide further details or accompany officials if required.",Other
"I want to report a broken streetlight and damaged footpath in Kothrud causing safety issues. This problem has persisted for a few days ago without any repair work being done. Elderly people and children find it very difficult to walk safely in this area. During the rains, the area gets waterlogged, increasing the risk of falls. There have been a few incidents of people slipping and getting injured here. I along with other residents request immediate repair of this public infrastructure. This poses a continuous risk to pedestrians and vehicles passing through daily. I request quick action from the municipal authorities to resolve this matter.",Public Safety
"A person, identified as my ex-partner, has been stalking me for 10th of last month now. Last week, they were seen standing near my college gate watching me. They repeatedly try to talk to me even after I have refused multiple times. My friends have also noticed this person following me on different days. This person seems to know my daily routine, which is very concerning. I fear this may escalate into something more dangerous if not stopped. I request that strict action be taken against this individual immediately. Please guide me on the next steps to ensure my safety.",Stalking
"I want to report the theft of my two-wheeler that happened in Kharadi. The incident took place early this morning, near the main market area. When I realised it was missing, I immediately checked the surroundings but found nothing. I suspect it was stolen by someone who was following me for a while. The approximate value of the stolen item is around Rs. 12,000. I have already informed the local shopkeepers in case they noticed anything unusual. I request the police to investigate the matter and help recover my belongings. I am ready to provide any additional details or CCTV footage location if available.",Theft
"I want to report a suspicious activity noticed in Thane. Since on the 18th, unknown individuals have been gathering near the abandoned building at odd hours. Residents suspect some illegal activity may be taking place there at night. There have been loud noises and occasional arguments heard from the location. This has raised safety concerns among the families living nearby. No official action has been taken despite informing the local ward office. I request the authorities to investigate this matter and ensure resident safety. I am willing to provide further details or accompany officials if required.",Other
"I want to file a general safety complaint regarding noise and nuisance in Kharadi. For 15th july, a nearby establishment has been operating loudly beyond permitted hours. This has disturbed the peace of the neighbourhood, especially for elderly residents and children. Repeated requests to the owners to reduce noise have been ignored. The situation escalates on weekends when the disturbance continues till late night. Several neighbours have joined together to raise this issue with local authorities. I request necessary action to ensure the noise levels are brought under control. Kindly look into this matter at the earliest for the well-being of residents.",Other
"I want to report that my neighbour is blackmailing me using an unknown phone number. Since last friday, this person has threatened to leak my private photos and information. They are demanding Rs. 12,000 in exchange for not making the content public. I have refused to pay, after which the threats have become more frequent. This blackmail has caused me severe mental stress and fear of social embarrassment. I have saved all the chat conversations and screenshots as evidence. I request the cyber crime department to investigate and take strict action. I am willing to cooperate fully to ensure this person is held accountable.",Blackmail
"I am filing a complaint regarding threats issued to me by my husband residing in Borivali. The threats began 10th of last month after a minor dispute between us. They have threatened to attack me and damage my property if I speak up. This has caused significant fear and anxiety for me and my family members. I have avoided any confrontation, but the threats have continued regardless. Neighbours in the area are also aware of the tension and can confirm this. I request that appropriate legal action be taken to ensure my safety. Please treat this matter with urgency given the serious nature of the threats.",Threat
"A person, identified as my brother-in-law, has been stalking me for a few days ago now. On my way to college, they were seen standing near my college gate watching me. They repeatedly try to talk to me even after I have refused multiple times. My friends have also noticed this person following me on different days. This person seems to know my daily routine, which is very concerning. I fear this may escalate into something more dangerous if not stopped. I request that strict action be taken against this individual immediately. Please guide me on the next steps to ensure my safety.",Stalking
"This is to report a theft incident involving important documents and my wallet in the Wakad locality. It occurred around midnight, when I had briefly stepped away from the spot. On returning, I found that my belongings had been taken by someone unknown. The estimated loss is approximately Rs. 2,50,000, which is a significant amount for me. There were a few people nearby, but no one noticed the theft taking place. I have checked with nearby shops and residents, but there is no lead yet. I request that the case be registered and investigated at the earliest. I am willing to cooperate fully with the investigation process.",Theft
"I am filing a complaint regarding threats issued to me by my brother-in-law residing in Pimpri. The threats began 22nd june after a minor dispute between us. They have threatened to attack me and damage my property if I speak up. This has caused significant fear and anxiety for me and my family members. I have avoided any confrontation, but the threats have continued regardless. Neighbours in the area are also aware of the tension and can confirm this. I request that appropriate legal action be taken to ensure my safety. Please treat this matter with urgency given the serious nature of the threats.",Threat
"I want to report an incident of eve teasing that happened in Vile Parle. Two days back, two men on a bike passed vulgar comments at me while I was walking. They also whistled and made inappropriate gestures towards me and my friend. When I tried to ignore them and walk away, they followed for some distance. This kind of behaviour has made me feel unsafe while commuting alone. Other women in the area have also faced similar harassment at the same spot. I request increased police patrolling in this area to prevent such incidents. I am ready to identify the individuals if a line-up or CCTV review is arranged.",Eve Teasing
"I want to report a suspicious activity noticed in Andheri. Since 10th of last month, unknown individuals have been gathering near the abandoned building at odd hours. Residents suspect some illegal activity may be taking place there at night. There have been loud noises and occasional arguments heard from the location. This has raised safety concerns among the families living nearby. No official action has been taken despite informing the local ward office. I request the authorities to investigate this matter and ensure resident safety. I am willing to provide further details or accompany officials if required.",Other
"I want to file a complaint regarding stalking by a shopkeeper nearby in Nagpur city. Since 3rd of this month, this person has been following me almost every day. Two days back, I noticed the same person waiting outside my house again. They also follow me to my workplace and wait near the gate. I have noticed the same vehicle following my auto-rickshaw multiple times. This constant following has made me extremely anxious and fearful for my safety. I request the police to investigate and stop this person from stalking me. I am willing to identify the person and provide further details if needed.",Stalking
"I want to file a general safety complaint regarding noise and nuisance in Kalyan. For a few days ago, a nearby establishment has been operating loudly beyond permitted hours. This has disturbed the peace of the neighbourhood, especially for elderly residents and children. Repeated requests to the owners to reduce noise have been ignored. The situation escalates on weekends when the disturbance continues till late night. Several neighbours have joined together to raise this issue with local authorities. I request necessary action to ensure the noise levels are brought under control. Kindly look into this matter at the earliest for the well-being of residents.",Other
"I am filing a complaint regarding threats issued to me by my colleague residing in Vashi. The threats began since the last two weeks after a minor dispute between us. They have threatened to attack me and damage my property if I speak up. This has caused significant fear and anxiety for me and my family members. I have avoided any confrontation, but the threats have continued regardless. Neighbours in the area are also aware of the tension and can confirm this. I request that appropriate legal action be taken to ensure my safety. Please treat this matter with urgency given the serious nature of the threats.",Threat
"I want to raise a public safety concern regarding the condition of roads in Kalyan. There is an open manhole near the main road that has been uncovered since for the past one month. Several two-wheeler riders have already met with minor accidents at this spot. There are no warning signs or barricades placed around the hazardous area. At night, due to poor street lighting, the risk of accidents increases further. Local residents have raised this issue before, but no action has been taken. I request the concerned authorities to repair the manhole and ensure proper lighting. This is a serious public safety hazard that needs urgent attention.",Public Safety
"I want to raise a public safety concern regarding the condition of roads in Kothrud. There is an open manhole near the main road that has been uncovered since last friday. Several two-wheeler riders have already met with minor accidents at this spot. There are no warning signs or barricades placed around the hazardous area. At night, due to poor street lighting, the risk of accidents increases further. Local residents have raised this issue before, but no action has been taken. I request the concerned authorities to repair the manhole and ensure proper lighting. This is a serious public safety hazard that needs urgent attention.",Public Safety
"I want to report that a man from my society is blackmailing me using a fake email ID. Since a few days ago, this person has threatened to leak my private photos and information. They are demanding Rs. 8,000 in exchange for not making the content public. I have refused to pay, after which the threats have become more frequent. This blackmail has caused me severe mental stress and fear of social embarrassment. I have saved all the chat conversations and screenshots as evidence. I request the cyber crime department to investigate and take strict action. I am willing to cooperate fully to ensure this person is held accountable.",Blackmail
"I am filing this complaint against my husband for continuous domestic abuse at home. Since 3rd of this month, I have been subjected to physical assault and harassment. I am also denied basic necessities and confined to the house without reason. There have been repeated threats of violence whenever I try to speak up. My relatives are aware of the situation and can testify to the abuse. I fear for my safety and the safety of my children living with me. I request immediate protection and appropriate legal action under the law. Kindly guide me regarding shelter and legal support available for my situation.",Domestic Violence
"I want to report a broken streetlight and damaged footpath in Kharadi causing safety issues. This problem has persisted for on the 18th without any repair work being done. Elderly people and children find it very difficult to walk safely in this area. During the rains, the area gets waterlogged, increasing the risk of falls. There have been a few incidents of people slipping and getting injured here. I along with other residents request immediate repair of this public infrastructure. This poses a continuous risk to pedestrians and vehicles passing through daily. I request quick action from the municipal authorities to resolve this matter.",Public Safety
"This is to report a theft incident involving important documents and my wallet in the Andheri locality. It occurred last night around 9 PM, when I had briefly stepped away from the spot. On returning, I found that my belongings had been taken by someone unknown. The estimated loss is approximately Rs. 75,000, which is a significant amount for me. There were a few people nearby, but no one noticed the theft taking place. I have checked with nearby shops and residents, but there is no lead yet. I request that the case be registered and investigated at the earliest. I am willing to cooperate fully with the investigation process.",Theft
"I want to report that I have received serious threats from my ex-boyfriend in Aundh. Since 3rd of this month, this person has been threatening to harm me and my family. They have warned me of dire consequences if I do not comply with their demands. The threats have been made both in person and over phone calls. I am extremely worried about the safety of my family due to these threats. I have not responded to any of their demands, which has escalated their anger. I request police protection and immediate action against the person threatening me. I can provide call recordings and witness details to support this complaint.",Threat
"I, along with my family, am being harassed by my classmate residing in Andheri. The harassment has been going on for on the 18th now. They pass lewd remarks and try to create trouble whenever they see me. This morning around 8 am the situation became worse when they confronted me directly. I feel unsafe going to work because of this constant harassment. My family members have also witnessed this behaviour on multiple occasions. I request immediate intervention so that this harassment stops permanently. Kindly register my complaint and take necessary legal action.",Harassment
"I want to report that I am being harassed online through Instagram. An unknown user has been sending me abusive and threatening messages since on the 18th. They have also created a fake profile using my photos without my consent. This person is messaging my friends and relatives with objectionable content about me. I have tried blocking the account, but new fake accounts keep appearing. This online harassment is causing me a lot of stress and embarrassment. I request cyber crime cell to trace the account and take strict action. I can share screenshots and chat history as proof of the harassment.",Cyber Harassment
"I am reporting an eve teasing incident that occurred near Kothrud bus stop. Last week, two men on a bike started teasing me and passing lewd remarks. They also tried to click photographs of me without my permission. I confronted them, but they laughed it off and continued their behaviour. This is not the first time such incidents have happened at this location. Several other girls have complained informally about the same group. I request strict action and regular police presence to ensure women's safety. I am willing to assist with identification if the individuals are traced.",Eve Teasing
"I want to file a complaint regarding stalking by a man from my society in Kothrud. Since last friday, this person has been following me almost every day. When i was coming back from the market, I noticed the same person waiting outside my house again. They also follow me to my workplace and wait near the gate. I have noticed the same vehicle following my auto-rickshaw multiple times. This constant following has made me extremely anxious and fearful for my safety. I request the police to investigate and stop this person from stalking me. I am willing to identify the person and provide further details if needed.",Stalking
"I want to report that I am being harassed online through a fake email ID. An unknown user has been sending me abusive and threatening messages since last friday. They have also created a fake profile using my photos without my consent. This person is messaging my friends and relatives with objectionable content about me. I have tried blocking the account, but new fake accounts keep appearing. This online harassment is causing me a lot of stress and embarrassment. I request cyber crime cell to trace the account and take strict action. I can share screenshots and chat history as proof of the harassment.",Cyber Harassment
"I am filing a complaint regarding threats issued to me by my classmate residing in Kharadi. The threats began 15th july after a minor dispute between us. They have threatened to attack me and damage my property if I speak up. This has caused significant fear and anxiety for me and my family members. I have avoided any confrontation, but the threats have continued regardless. Neighbours in the area are also aware of the tension and can confirm this. I request that appropriate legal action be taken to ensure my safety. Please treat this matter with urgency given the serious nature of the threats.",Threat
"I, along with my family, am being harassed by a man from my society residing in Sadar Bazar. The harassment has been going on for last friday now. They pass lewd remarks and try to create trouble whenever they see me. Around midnight the situation became worse when they confronted me directly. I feel unsafe going to work because of this constant harassment. My family members have also witnessed this behaviour on multiple occasions. I request immediate intervention so that this harassment stops permanently. Kindly register my complaint and take necessary legal action.",Harassment
"I want to report a suspicious activity noticed in Kharadi. Since last friday, unknown individuals have been gathering near the abandoned building at odd hours. Residents suspect some illegal activity may be taking place there at night. There have been loud noises and occasional arguments heard from the location. This has raised safety concerns among the families living nearby. No official action has been taken despite informing the local ward office. I request the authorities to investigate this matter and ensure resident safety. I am willing to provide further details or accompany officials if required.",Other
"I, along with my family, am being harassed by an unidentified man residing in Kalyan. The harassment has been going on for 22nd june now. They pass lewd remarks and try to create trouble whenever they see me. Around midnight the situation became worse when they confronted me directly. I feel unsafe going to work because of this constant harassment. My family members have also witnessed this behaviour on multiple occasions. I request immediate intervention so that this harassment stops permanently. Kindly register my complaint and take necessary legal action.",Harassment
"I want to report a suspicious activity noticed in Kharadi. Since since the last two weeks, unknown individuals have been gathering near the abandoned building at odd hours. Residents suspect some illegal activity may be taking place there at night. There have been loud noises and occasional arguments heard from the location. This has raised safety concerns among the families living nearby. No official action has been taken despite informing the local ward office. I request the authorities to investigate this matter and ensure resident safety. I am willing to provide further details or accompany officials if required.",Other
"I want to report an incident of eve teasing that happened in Kharadi. While i was returning from work, a group of boys passed vulgar comments at me while I was walking. They also whistled and made inappropriate gestures towards me and my friend. When I tried to ignore them and walk away, they followed for some distance. This kind of behaviour has made me feel unsafe while commuting alone. Other women in the area have also faced similar harassment at the same spot. I request increased police patrolling in this area to prevent such incidents. I am ready to identify the individuals if a line-up or CCTV review is arranged.",Eve Teasing
