मैं घर में लगातार घरेलू दुर्व्यवहार के लिए अपने ससुराल वालों के खिलाफ यह शिकायत दर्ज करा रही हूं। 2 अगस्त से मुझे शारीरिक उत्पीड़न और उत्पीड़न का शिकार होना पड़ रहा है। मुझे बुनियादी ज़रूरतों से भी वंचित कर दिया जाता है और बिना कारण घर तक सीमित कर दिया जाता है। जब भी मैं बोलने की कोशिश करता हूं तो बार-बार हिंसा की धमकियां मिलती रहती हैं। मेरे रिश्तेदार स्थिति से अवगत हैं और दुर्व्यवहार की गवाही दे सकते हैं। मुझे अपनी सुरक्षा और मेरे साथ रहने वाले मेरे बच्चों की सुरक्षा का डर है। मैं कानून के तहत तत्काल सुरक्षा और उचित कानूनी कार्रवाई का अनुरोध करता हूं। कृपया मेरी स्थिति के लिए उपलब्ध आश्रय और कानूनी सहायता के संबंध में मेरा मार्गदर्शन करें।,घरेलू हिंसा,घर लगातार घरेलू दुर्व्यवहार अपना ससुराल वाला खिलाफ शिकायत दर्ज रहना । अगस्त शारीरिक उत्पीडन उत्पीडन शिकार होना पड़ना रहना । बुनियादी ज़रूरत वंचित देना जाना बिना कारण घर सीमित देना जाना । जब बोलना कोशिश बार बार हिंसा धमकी मिलना रहना । रिश्तेदार स्थिति अवगत दुर्व्यवहार गवाही देना सकना । अपना सुरक्षा साथ रहना वाला बच्चा सुरक्षा डर । कानून तहत तत्काल सुरक्षा उचित कानूनी कार्रवाई अनुरोध । कृपया स्थिति उपलब्ध आश्रय कानूनी सहायता संबंध मार्गदर्शन ।
"मैं चिंचवड़ में रहने वाले अपने मकान मालिक द्वारा मुझे दी गई धमकियों के संबंध में शिकायत दर्ज करा रहा हूं। इस महीने की 3 तारीख को हमारे बीच एक मामूली विवाद के बाद धमकियां मिलनी शुरू हुईं। उन्होंने मुझे बोलने पर हमला करने और मेरी संपत्ति को नुकसान पहुंचाने की धमकी दी है। इससे मेरे और मेरे परिवार के सदस्यों में काफी डर और चिंता पैदा हो गई है। मैंने किसी भी टकराव से परहेज किया है, लेकिन धमकियां इसकी परवाह किए बिना जारी हैं। इलाके के पड़ोसियों को भी तनाव की जानकारी है और वे इसकी पुष्टि कर सकते हैं. मेरा अनुरोध है कि मेरी सुरक्षा सुनिश्चित करने के लिए उचित कानूनी कार्रवाई की जाए। धमकियों की गंभीर प्रकृति को देखते हुए कृपया इस मामले पर तत्परता से विचार करें।",धमकी,चिंचवड़ रहना वाला अपना मकान मालिक देना जाना धमकी संबंध शिकायत दर्ज रहना । महीना तारीख बीच मामूली विवाद बाद धमकी मिलना शुरू होना । बोलना हमला संपत्ति नुकसान पहुंचाना धमकी देना । परिवार सदस्य काफी डर चिंता पैदा होना जाना । कोई टकराव परहेज लेकिन धमकी परवाह बिना जारी । इलाका पड़ोसी तनाव जानकारी पुष्टि सकना अनुरोध कि सुरक्षा सुनिश्चित उचित कानूनी कार्रवाई जाना धमकी गंभीर प्रकृति देखना होना कृपया मामला तत्परता विचार ।
"मैं चिंचवड़ में हुई नकदी और कार्ड वाले अपने पर्स की चोरी की रिपोर्ट करना चाहता हूं। यह घटना आज सुबह मुख्य बाजार क्षेत्र के पास हुई। जब मुझे एहसास हुआ कि यह गायब है, तो मैंने तुरंत आसपास की जाँच की लेकिन कुछ नहीं मिला। मुझे संदेह है कि इसे किसी ऐसे व्यक्ति ने चुराया है जो कुछ समय से मेरा पीछा कर रहा था। चोरी गए सामान की अनुमानित कीमत करीब तीन लाख रुपये है। 50,000. मैंने स्थानीय दुकानदारों को पहले ही सूचित कर दिया है कि उन्हें कुछ भी असामान्य दिखे। मैं पुलिस से मामले की जांच करने और मेरा सामान बरामद करने में मदद करने का अनुरोध करता हूं। यदि उपलब्ध हो तो मैं कोई भी अतिरिक्त विवरण या सीसीटीवी फुटेज स्थान प्रदान करने के लिए तैयार हूं।",चोरी,चिंचवड होना नकदी कार्ड वाला अपना पर्स चोरी रिपोर्ट चाहना । घटना आज सुबह मुख्य बाजार क्षेत्र पास होना । जब एहसास होना कि गायब तुरंत आसपास जाँच लेकिन कुछ नहीं मिलना । संदेह कि कोई ऐसा व्यक्ति ने चुराना जो कुछ समय पीछा रहना । चोरी जाना सामान अनुमानित कीमत करीब तीन लाख रुपया । स्थानीय दुकानदार पहले ही सूचित देना कि कुछ असामान्य दिखना । पुलिस मामला जांच सामान बरामद मदद अनुरोध । यदि उपलब्ध होना कोई अतिरिक्त विवरण सीसीटीवी फुटेज स्थान प्रदान तैयार ।
"मैं विले पार्ले में रहने वाले एक दुकानदार द्वारा मुझे दी गई धमकियों के संबंध में शिकायत दर्ज करा रहा हूं। धमकियां पिछले शुक्रवार को हमारे बीच मामूली विवाद के बाद शुरू हुईं। उन्होंने मुझे बोलने पर हमला करने और मेरी संपत्ति को नुकसान पहुंचाने की धमकी दी है। इससे मेरे और मेरे परिवार के सदस्यों में काफी डर और चिंता पैदा हो गई है। मैंने किसी भी टकराव से परहेज किया है, लेकिन धमकियां इसकी परवाह किए बिना जारी हैं। इलाके के पड़ोसियों को भी तनाव की जानकारी है और वे इसकी पुष्टि कर सकते हैं. मेरा अनुरोध है कि मेरी सुरक्षा सुनिश्चित करने के लिए उचित कानूनी कार्रवाई की जाए। धमकियों की गंभीर प्रकृति को देखते हुए कृपया इस मामले पर तत्परता से विचार करें।",धमकी,विले पार्ले रहना वाला दुकानदार देना जाना धमकी संबंध शिकायत दर्ज रहना । धमकी पिछला शुक्रवार बीच मामूली विवाद बाद शुरू होना । बोलना हमला संपत्ति नुकसान पहुंचाना धमकी देना । परिवार सदस्य काफी डर चिंता पैदा होना जाना । कोई टकराव परहेज लेकिन धमकी परवाह बिना जारी । इलाका पड़ोसी तनाव जानकारी पुष्टि सकना अनुरोध कि सुरक्षा सुनिश्चित उचित कानूनी कार्रवाई जाना धमकी गंभीर प्रकृति देखना होना कृपया मामला तत्परता विचार ।
"स्नैपचैट पर कोई मुझे बार-बार अनुचित संदेश और टिप्पणियाँ भेज रहा है। यह उत्पीड़न 2 अगस्त को शुरू हुआ और हाल ही में इसकी आवृत्ति में वृद्धि हुई है। उस व्यक्ति ने मेरे सार्वजनिक पोस्ट पर भी अश्लील टिप्पणी की है.' मैंने उन्हें समझाने की कोशिश की, लेकिन उन्होंने और भी अश्लील संदेश जारी रखे। उन्होंने मेरे दोस्तों और परिवार को भी शर्मनाक और झूठे पोस्ट में टैग किया। मैं बेहद परेशान हूं और अब शांति से सोशल मीडिया का इस्तेमाल नहीं कर पा रहा हूं।' मेरा अनुरोध है कि खाते का पता लगाया जाए और उचित कार्रवाई की जाए। मैं अपनी शिकायत के समर्थन में आवश्यक स्क्रीनशॉट संलग्न कर रहा हूं।",साइबर उत्पीड़न,स्नैपचैट कोई बार बार अनुचित संदेश टिप्पणी भेजना रहना । उत्पीडन अगस्त शुरू होना हाल ही आवृत्ति वृद्धि होना । व्यक्ति ने सार्वजनिक पोस्ट अश्लील टिप्पणी समझाना कोशिश लेकिन अश्लील संदेश जारी रखना । दोस्त परिवार शर्मनाक झूठा पोस्ट टैग । बेहद परेशान अब शान्ति सोशल मीडिया इस्तेमाल नहीं पाना रहना । अनुरोध कि खाता पता लगाना जाना उचित कार्रवाई जाना । अपना शिकायत समर्थन आवश्यक स्क्रीनशॉट संलग्न रहना ।
"मैं वाकाड में शोर और उपद्रव के संबंध में एक सामान्य सुरक्षा शिकायत दर्ज करना चाहता हूं। 22 जून से, पास का एक प्रतिष्ठान अनुमत समय से अधिक जोर-शोर से काम कर रहा है। इससे आस-पड़ोस की शांति भंग हो गई है, विशेषकर बुजुर्ग निवासियों और बच्चों के लिए। मालिकों से शोर कम करने के बार-बार अनुरोध को नजरअंदाज कर दिया गया है। सप्ताहांत पर स्थिति और भी गंभीर हो जाती है जब अशांति देर रात तक जारी रहती है। इस मुद्दे को स्थानीय अधिकारियों के सामने उठाने के लिए कई पड़ोसी एकजुट हुए हैं। मैं यह सुनिश्चित करने के लिए आवश्यक कार्रवाई का अनुरोध करता हूं कि शोर के स्तर को नियंत्रण में लाया जाए। कृपया निवासियों की भलाई के लिए इस मामले पर जल्द से जल्द ध्यान दें।",अन्य,वाकाड शोर उपद्रव संबंध सामान्य सुरक्षा शिकायत दर्ज चाहना । जून पास प्रतिष्ठान अनुमत समय अधिक जोर शोर काम रहना । आस पडोस शान्ति भंग होना जाना विशेषकर बुजुर्ग निवासी बच्चा । मालिक शोर कम बार बार अनुरोध नजरअंदाज देना जाना । सप्ताहांत स्थिति गंभीर होना जाना जब अशान्ति देर रात जारी रहना । मुद्दा स्थानीय अधिकारी सामने उठाना कई पड़ोसी एकजुट होना । सुनिश्चित आवश्यक कार्रवाई अनुरोध कि शोर स्तर नियंत्रण लाना जाना । कृपया निवासी भलाई मामला जल्द जल्द ध्यान देना ।
"मेरे कार्यस्थल पर वरिष्ठ के रूप में पहचाने जाने वाला एक व्यक्ति 2 अगस्त से मेरा पीछा कर रहा है। कल रात करीब 9 बजे वे मेरे कॉलेज के गेट के पास खड़े होकर मुझे देखते दिखे। मेरे कई बार मना करने के बाद भी वे बार-बार मुझसे बात करने की कोशिश करते हैं। मेरे दोस्तों ने भी देखा है कि यह व्यक्ति अलग-अलग दिनों में मेरा पीछा कर रहा है। ऐसा लगता है कि यह व्यक्ति मेरी दिनचर्या जानता है, जो बहुत चिंताजनक है। मुझे डर है कि अगर इसे नहीं रोका गया तो यह और भी खतरनाक रूप ले सकता है। मेरा अनुरोध है कि इस व्यक्ति के खिलाफ तुरंत सख्त कार्रवाई की जाए।' कृपया मेरी सुरक्षा सुनिश्चित करने के लिए अगले कदमों पर मेरा मार्गदर्शन करें।",स्टॉकिंग,कार्यस्थल वरिष्ठ रूप पहचानना जाना वाला व्यक्ति अगस्त पीछा रहना । कल रात करीब बजे कॉलेज गेट पास खड़ा होना देखना दिखे।ना कई बार मना बाद बार बार बात कोशिश । दोस्त ने देखना कि व्यक्ति अलग अलग दिन पीछा रहना । ऐसा लगना कि व्यक्ति दिनचर्या जानना जो बहुत चिंताजनक । डर कि अगर नहीं रोकना जाना खतरनाक रूप लेना सकना । अनुरोध कि व्यक्ति खिलाफ तुरंत सख्त कार्रवाई जाना । कृपया सुरक्षा सुनिश्चित अगला कदम मार्गदर्शन ।
"मैं रिपोर्ट करना चाहता हूं कि पास का एक दुकानदार फेसबुक का उपयोग करके मुझे ब्लैकमेल कर रहा है। पिछले दो सप्ताह से यह व्यक्ति मेरी निजी तस्वीरें और जानकारी लीक करने की धमकी दे रहा है। वे रुपये की मांग कर रहे हैं. सामग्री को सार्वजनिक न करने के बदले में 1,00,000 रु. मैंने पैसे देने से इनकार कर दिया है, जिसके बाद धमकियां और भी बढ़ गई हैं. इस ब्लैकमेल से मुझे गंभीर मानसिक तनाव और सामाजिक शर्मिंदगी का डर सता रहा है। मैंने सभी चैट वार्तालाप और स्क्रीनशॉट को साक्ष्य के रूप में सहेजा है। मैं साइबर अपराध विभाग से जांच करने और सख्त कार्रवाई करने का अनुरोध करता हूं।' मैं यह सुनिश्चित करने के लिए पूरा सहयोग करने को तैयार हूं कि इस व्यक्ति को जवाबदेह ठहराया जाए।",ब्लैकमेल,रिपोर्ट चाहना कि पास दुकानदार फेसबुक उपयोग ब्लैकमेल रहना । पिछला दो सप्ताह व्यक्ति निजी तस्वीर जानकारी लीक धमकी देना रहना । रुपया मांग रहना सामग्री सार्वजनिक न बदले रु पैसा देना इनकार देना जो बाद धमकी बढ़ना जाना ब्लैकमेल गंभीर मानसिक तनाव सामाजिक शर्मिंदगी डर सताना रहना । सभी चैट वार्तालाप स्क्रीनशॉट साक्ष्य रूप सहेजना । साइबर अपराध विभाग जांच सख्त कार्रवाई अनुरोध । सुनिश्चित पूरा सहयोग तैयार कि व्यक्ति जवाबदेह ठहराना जाना ।
मैं विले पार्ले में हुई छेड़छाड़ की एक घटना की रिपोर्ट करना चाहता हूं। कल शाम जब मैं पैदल जा रही थी तो बाइक पर सवार दो लोगों ने मुझ पर अश्लील टिप्पणियां कीं। उन्होंने सीटियां भी बजाईं और मेरे और मेरे दोस्त की ओर अनुचित इशारे भी किए। जब मैंने उन्हें नज़रअंदाज कर दूर जाने की कोशिश की तो उन्होंने कुछ दूर तक पीछा किया। इस तरह के व्यवहार से मुझे अकेले यात्रा करते समय असुरक्षित महसूस होने लगा है। क्षेत्र की अन्य महिलाओं को भी उसी स्थान पर इसी तरह के उत्पीड़न का सामना करना पड़ा है। मैं ऐसी घटनाओं को रोकने के लिए इस क्षेत्र में पुलिस गश्त बढ़ाने का अनुरोध करता हूं। यदि लाइन-अप या सीसीटीवी समीक्षा की व्यवस्था की जाती है तो मैं व्यक्तियों की पहचान करने के लिए तैयार हूं।,ईव टीज़िंग,विले पार्ले होना छेडछाड घटना रिपोर्ट चाहना । कल शाम जब पैदल जाना रहना बाइक सवार दो लोग ने अश्लील टिप्पणी कीं।ना सीटी बजाना दोस्त ओर अनुचित इशारा । जब नजरअंदाज दूर जाना कोशिश कुछ दूर पीछा । तरह व्यवहार अकेला यात्रा समय असुरक्षित महसूस होना लगाना । क्षेत्र अन्य महिला स्थान तरह उत्पीडन सामना पड़ना । ऐसा घटना रोकना क्षेत्र पुलिस गश्त बढ़ाना अनुरोध । यदि लाइन अप सीसीटीवी समीक्षा व्यवस्था जाना व्यक्ति पहचान तैयार ।
"मैं रिपोर्ट करना चाहती हूं कि मुझे व्हाट्सएप के जरिए ऑनलाइन परेशान किया जा रहा है। एक अज्ञात यूजर पिछले महीने की 10 तारीख से मुझे अपमानजनक और धमकी भरे संदेश भेज रहा है। उन्होंने मेरी सहमति के बिना मेरी तस्वीरों का उपयोग करके एक फर्जी प्रोफ़ाइल भी बनाई है। यह व्यक्ति मेरे दोस्तों और रिश्तेदारों को मेरे बारे में आपत्तिजनक सामग्री वाले संदेश भेज रहा है। मैंने खाते को ब्लॉक करने का प्रयास किया है, लेकिन नए नकली खाते सामने आते रहते हैं। इस ऑनलाइन उत्पीड़न के कारण मुझे बहुत तनाव और शर्मिंदगी उठानी पड़ रही है। मैं साइबर क्राइम सेल से अनुरोध करता हूं कि खाते का पता लगाया जाए और सख्त कार्रवाई की जाए। मैं उत्पीड़न के सबूत के रूप में स्क्रीनशॉट और चैट इतिहास साझा कर सकता हूं।",साइबर उत्पीड़न,रिपोर्ट चाहना कि व्हाट्सएप जरिये ऑनलाइन परेशान जाना रहना । अज्ञात यूजर पिछला महीना तारीख अपमानजनक धमकी भरना संदेश भेजना रहना । सहमति बिना तस्वीर उपयोग फर्जी प्रोफाइल बनाना । व्यक्ति दोस्त रिश्तेदार बारे आपत्तिजनक सामग्री वाला संदेश भेजना रहना । खाता ब्लॉक प्रयास लेकिन नया नकली खाता सामने आना रहना । ऑनलाइन उत्पीडन कारण बहुत तनाव शर्मिंदगी उठाना पड़ना रहना । साइबर क्राइम सेल अनुरोध कि खाता पता लगाना जाना सख्त कार्रवाई जाना । उत्पीडन सबूत रूप स्क्रीनशॉट चैट इतिहास साझा सकना ।
"मैं चिंचवड़ बस स्टॉप के पास हुई एक छेड़छाड़ की घटना की रिपोर्ट कर रहा हूं। जब मैं बाजार से वापस आ रही थी तो कुछ युवक मेरे साथ छेड़छाड़ करने लगे और भद्दे कमेंट करने लगे। उन्होंने मेरी अनुमति के बिना मेरी तस्वीरें खींचने की भी कोशिश की. मैंने उनका विरोध किया, लेकिन उन्होंने इसे हंसी में उड़ा दिया और अपना व्यवहार जारी रखा। यह पहली बार नहीं है जब इस स्थान पर ऐसी घटनाएं हुई हैं। इसी ग्रुप के बारे में कई अन्य लड़कियों ने अनौपचारिक रूप से शिकायत की है. मैं महिलाओं की सुरक्षा सुनिश्चित करने के लिए सख्त कार्रवाई और नियमित पुलिस उपस्थिति का अनुरोध करता हूं। यदि व्यक्तियों का पता लगाया जाता है तो मैं पहचान में सहायता करने को तैयार हूं।",ईव टीज़िंग,चिंचवड बस स्टॉप पास होना छेडछाड घटना रिपोर्ट रहना । जब बाजार वापस आना रहना कुछ युवक साथ छेडछाड लगना भद्दा कमेंट लगना । अनुमति बिना तस्वीर खींचना कोशिश विरोध लेकिन हँसी उड़ाना देना अपना व्यवहार जारी रखना । पहला बार नहीं जब स्थान ऐसा घटना होना । ग्रुप बारे कई अन्य लड़की ने अनौपचारिक रूप शिकायत महिला सुरक्षा सुनिश्चित सख्त कार्रवाई नियमित पुलिस उपस्थिति अनुरोध । यदि व्यक्ति पता लगाना जाना पहचान सहायता तैयार ।
"मैं खरादी बस स्टॉप के पास हुई एक छेड़छाड़ की घटना की रिपोर्ट कर रहा हूं। जब मैं कॉलेज जा रही थी तो बाइक पर दो आदमी मुझे छेड़ने लगे और भद्दे कमेंट करने लगे। उन्होंने मेरी अनुमति के बिना मेरी तस्वीरें खींचने की भी कोशिश की. मैंने उनका विरोध किया, लेकिन उन्होंने इसे हंसी में उड़ा दिया और अपना व्यवहार जारी रखा। यह पहली बार नहीं है जब इस स्थान पर ऐसी घटनाएं हुई हैं। इसी ग्रुप के बारे में कई अन्य लड़कियों ने अनौपचारिक रूप से शिकायत की है. मैं महिलाओं की सुरक्षा सुनिश्चित करने के लिए सख्त कार्रवाई और नियमित पुलिस उपस्थिति का अनुरोध करता हूं। यदि व्यक्तियों का पता लगाया जाता है तो मैं पहचान में सहायता करने को तैयार हूं।",ईव टीज़िंग,खरादी बस स्टॉप पास होना छेडछाड घटना रिपोर्ट रहना । जब कॉलेज जाना रहना बाइक दो आदमी छेडना लगना भद्दा कमेंट लगना । अनुमति बिना तस्वीर खींचना कोशिश विरोध लेकिन हँसी उड़ाना देना अपना व्यवहार जारी रखना । पहला बार नहीं जब स्थान ऐसा घटना होना । ग्रुप बारे कई अन्य लड़की ने अनौपचारिक रूप शिकायत महिला सुरक्षा सुनिश्चित सख्त कार्रवाई नियमित पुलिस उपस्थिति अनुरोध । यदि व्यक्ति पता लगाना जाना पहचान सहायता तैयार ।
"मैं हडपसर में शोर और उपद्रव के संबंध में एक सामान्य सुरक्षा शिकायत दर्ज करना चाहता हूं। पिछले महीने की 10 तारीख से, पास का एक प्रतिष्ठान अनुमत घंटों से अधिक जोर-शोर से काम कर रहा है। इससे आस-पड़ोस की शांति भंग हो गई है, विशेषकर बुजुर्ग निवासियों और बच्चों के लिए। मालिकों से शोर कम करने के बार-बार अनुरोध को नजरअंदाज कर दिया गया है। सप्ताहांत पर स्थिति और भी गंभीर हो जाती है जब अशांति देर रात तक जारी रहती है। इस मुद्दे को स्थानीय अधिकारियों के सामने उठाने के लिए कई पड़ोसी एकजुट हुए हैं। मैं यह सुनिश्चित करने के लिए आवश्यक कार्रवाई का अनुरोध करता हूं कि शोर के स्तर को नियंत्रण में लाया जाए। कृपया निवासियों की भलाई के लिए इस मामले पर जल्द से जल्द ध्यान दें।",अन्य,हडपसर शोर उपद्रव संबंध सामान्य सुरक्षा शिकायत दर्ज चाहना । पिछला महीना तारीख पास प्रतिष्ठान अनुमत घंटा अधिक जोर शोर काम रहना । आस पडोस शान्ति भंग होना जाना विशेषकर बुजुर्ग निवासी बच्चा । मालिक शोर कम बार बार अनुरोध नजरअंदाज देना जाना । सप्ताहांत स्थिति गंभीर होना जाना जब अशान्ति देर रात जारी रहना । मुद्दा स्थानीय अधिकारी सामने उठाना कई पड़ोसी एकजुट होना । सुनिश्चित आवश्यक कार्रवाई अनुरोध कि शोर स्तर नियंत्रण लाना जाना । कृपया निवासी भलाई मामला जल्द जल्द ध्यान देना ।
मैं नासिक रोड में अपने पूर्व पति द्वारा पीछा किए जाने के संबंध में शिकायत दर्ज कराना चाहती हूं। चूँकि पिछले एक महीने से यह व्यक्ति लगभग हर दिन मेरा पीछा कर रहा है। कल शाम को मैंने देखा कि वही व्यक्ति फिर से मेरे घर के बाहर इंतज़ार कर रहा है। वे भी मेरे पीछे-पीछे मेरे कार्यस्थल तक आते हैं और गेट के पास इंतजार करते हैं। मैंने देखा है कि एक ही वाहन कई बार मेरे ऑटो-रिक्शा का पीछा कर रहा है। इस निरंतर अनुसरण ने मुझे अपनी सुरक्षा के लिए अत्यधिक चिंतित और भयभीत कर दिया है। मैं पुलिस से जांच करने और इस व्यक्ति को मेरा पीछा करने से रोकने का अनुरोध करता हूं। मैं उस व्यक्ति की पहचान करने और जरूरत पड़ने पर और विवरण प्रदान करने को तैयार हूं।,स्टॉकिंग,नासिक रोड अपना पूर्व पति पीछा जाना संबंध शिकायत दर्ज कराना चाहना । चूँकि पिछला महीना व्यक्ति लगभग हर दिन पीछा रहना । कल शाम देखना कि व्यक्ति फिर घर बाहर इंतजार रहना । पीछे पीछे कार्यस्थल आना गेट पास इंतजार । देखना कि ही वाहन कई बार ऑटो रिक्शा पीछा रहना । निरन्तर अनुसरण ने अपना सुरक्षा अत्यधिक चिंतित भयभीत देना । पुलिस जांच व्यक्ति पीछा रोकना अनुरोध । व्यक्ति पहचान जरूरत पड़ना विवरण प्रदान तैयार ।
"मैं हडपसर बस स्टॉप के पास हुई एक छेड़छाड़ की घटना की रिपोर्ट कर रहा हूं। जब मैं बाजार से वापस आ रही थी तो एक अनजान आदमी ने मुझे छेड़ना शुरू कर दिया और भद्दे कमेंट करने लगा। उन्होंने मेरी अनुमति के बिना मेरी तस्वीरें खींचने की भी कोशिश की. मैंने उनका विरोध किया, लेकिन उन्होंने इसे हंसी में उड़ा दिया और अपना व्यवहार जारी रखा। यह पहली बार नहीं है जब इस स्थान पर ऐसी घटनाएं हुई हैं। इसी ग्रुप के बारे में कई अन्य लड़कियों ने अनौपचारिक रूप से शिकायत की है. मैं महिलाओं की सुरक्षा सुनिश्चित करने के लिए सख्त कार्रवाई और नियमित पुलिस उपस्थिति का अनुरोध करता हूं। यदि व्यक्तियों का पता लगाया जाता है तो मैं पहचान में सहायता करने को तैयार हूं।",ईव टीज़िंग,हडपसर बस स्टॉप पास होना छेडछाड घटना रिपोर्ट रहना । जब बाजार वापस आना रहना अनजान आदमी ने छेड़ना शुरू देना भद्दा कमेंट लगाना । अनुमति बिना तस्वीर खींचना कोशिश विरोध लेकिन हँसी उड़ाना देना अपना व्यवहार जारी रखना । पहला बार नहीं जब स्थान ऐसा घटना होना । ग्रुप बारे कई अन्य लड़की ने अनौपचारिक रूप शिकायत महिला सुरक्षा सुनिश्चित सख्त कार्रवाई नियमित पुलिस उपस्थिति अनुरोध । यदि व्यक्ति पता लगाना जाना पहचान सहायता तैयार ।
"मैं लगभग रुपये की नकदी की चोरी की रिपोर्ट करना चाहता हूं। 15,000 जो बोरीवली में हुआ। यह घटना मेरे कॉलेज जाते समय मुख्य बाजार क्षेत्र के पास घटी। जब मुझे एहसास हुआ कि यह गायब है, तो मैंने तुरंत आसपास की जाँच की लेकिन कुछ नहीं मिला। मुझे संदेह है कि इसे किसी ऐसे व्यक्ति ने चुराया है जो कुछ समय से मेरा पीछा कर रहा था। चोरी गए सामान की अनुमानित कीमत करीब तीन लाख रुपये है। 1,00,000. मैंने स्थानीय दुकानदारों को पहले ही सूचित कर दिया है कि उन्हें कुछ भी असामान्य दिखे। मैं पुलिस से मामले की जांच करने और मेरा सामान बरामद करने में मदद करने का अनुरोध करता हूं। यदि उपलब्ध हो तो मैं कोई भी अतिरिक्त विवरण या सीसीटीवी फुटेज स्थान प्रदान करने के लिए तैयार हूं।",चोरी,लगभग रुपया नकदी चोरी रिपोर्ट चाहना । जो बोरीवली होना । घटना कॉलेज जाना समय मुख्य बाजार क्षेत्र पास घटना जब एहसास होना कि गायब तुरंत आसपास जाँच लेकिन कुछ नहीं मिलना । संदेह कि कोई ऐसा व्यक्ति ने चुराना जो कुछ समय पीछा रहना । चोरी जाना सामान अनुमानित कीमत करीब तीन लाख रुपया । स्थानीय दुकानदार पहले ही सूचित देना कि कुछ असामान्य दिखना । पुलिस मामला जांच सामान बरामद मदद अनुरोध । यदि उपलब्ध होना कोई अतिरिक्त विवरण सीसीटीवी फुटेज स्थान प्रदान तैयार ।
"मुझे मेरे पूर्व-साथी द्वारा ब्लैकमेल किया जा रहा है जो मेरे बारे में निजी जानकारी उजागर करने की धमकी दे रहा है। ब्लैकमेल की कोशिशें 18 तारीख को स्नैपचैट पर संदेशों के जरिए शुरू हुईं। वे रुपये मांग रहे हैं. 35,000 न देने पर वे मुझे सार्वजनिक रूप से बदनाम करने की धमकी देते हैं। मैंने अब तक उनकी कोई भी मांग नहीं मानी है।' लगातार मिल रही इन धमकियों से मानसिक दबाव असहनीय होता जा रहा है। मैंने इस मामले से जुड़े सभी मैसेज और कॉल का रिकॉर्ड रखा है.' मैं इस ब्लैकमेल को रोकने और मेरी गोपनीयता की रक्षा के लिए तत्काल कार्रवाई का अनुरोध करता हूं। कृपया सलाह दें कि मैं इस व्यक्ति के खिलाफ क्या कानूनी कदम उठा सकता हूं।",ब्लैकमेल,पूर्व साथी ब्लैकमेल जाना रहना जो बारे निजी जानकारी उजागर धमकी देना रहना । ब्लैकमेल कोशिश तारीख स्नैपचैट संदेश जरिये शुरू होना । रुपया मांगना रहना न देना सार्वजनिक रूप बदनाम धमकी देना । अब कोई मांग नहीं मानना । लगातार मिलना रहना धमकी मानसिक दबाव असहनीय होना जाना रहना । मामला जुडना सभी मैसेज कॉल रिकॉर्ड रखना ब्लैकमेल रोकना गोपनीयता रक्षा तत्काल कार्रवाई अनुरोध । कृपया सलाह देना कि व्यक्ति खिलाफ क्या कानूनी कदम उठाना सकना ।
