complaint,category
"I want to file a complaint regarding stalking by my neighbour in Vashi. Since on the 18th, this person has been following me almost every day. Last week, I noticed the same person waiting outside my house again. They also follow me to my workplace and wait near the gate. I have noticed the same vehicle following my auto-rickshaw multiple times. This constant following has made me extremely anxious and fearful for my safety. I request the police to investigate and stop this person from stalking me. I am willing to identify the person and provide further details if needed.",Stalking
"A person, identified as a group of boys, has been stalking me for since the last two weeks now. On my way to college, they were seen standing near my college gate watching me. They repeatedly try to talk to me even after I have refused multiple times. My friends have also noticed this person following me on different days. This person seems to know my daily routine, which is very concerning. I fear this may escalate into something more dangerous if not stopped. I request that strict action be taken against this individual immediately. Please guide me on the next steps to ensure my safety.",Stalking
"I want to report continuous harassment I am facing from a shopkeeper nearby in Baner. It started for the past one month and has not stopped since then. A shopkeeper nearby keeps passing insulting comments about me in front of others. Last week, this person again misbehaved with me near my house. I have asked them politely to stop, but they continue to trouble me. This is affecting my mental peace and I am scared to step out alone. I request the police to take strict action against the person responsible. I am ready to provide any further details required for the investigation.",Harassment
"I want to report that a stranger is blackmailing me using Instagram. Since for the past one month, this person has threatened to leak my private photos and information. They are demanding Rs. 35,000 in exchange for not making the content public. I have refused to pay, after which the threats have become more frequent. This blackmail has caused me severe mental stress and fear of social embarrassment. I have saved all the chat conversations and screenshots as evidence. I request the cyber crime department to investigate and take strict action. I am willing to cooperate fully to ensure this person is held accountable.",Blackmail
"I want to report that I have received serious threats from an unidentified man in Chinchwad. Since since the last two weeks, this person has been threatening to harm me and my family. They have warned me of dire consequences if I do not comply with their demands. The threats have been made both in person and over phone calls. I am extremely worried about the safety of my family due to these threats. I have not responded to any of their demands, which has escalated their anger. I request police protection and immediate action against the person threatening me. I can provide call recordings and witness details to support this complaint.",Threat
"I want to report a broken streetlight and damaged footpath in Nashik Road causing safety issues. This problem has persisted for 15th july without any repair work being done. Elderly people and children find it very difficult to walk safely in this area. During the rains, the area gets waterlogged, increasing the risk of falls. There have been a few incidents of people slipping and getting injured here. I along with other residents request immediate repair of this public infrastructure. This poses a continuous risk to pedestrians and vehicles passing through daily. I request quick action from the municipal authorities to resolve this matter.",Public Safety
"I want to file a general safety complaint regarding noise and nuisance in Chinchwad. For on the 18th, a nearby establishment has been operating loudly beyond permitted hours. This has disturbed the peace of the neighbourhood, especially for elderly residents and children. Repeated requests to the owners to reduce noise have been ignored. The situation escalates on weekends when the disturbance continues till late night. Several neighbours have joined together to raise this issue with local authorities. I request necessary action to ensure the noise levels are brought under control. Kindly look into this matter at the earliest for the well-being of residents.",Other
"I am reporting an eve teasing incident that occurred near Vashi bus stop. Last week, a group of boys started teasing me and passing lewd remarks. They also tried to click photographs of me without my permission. I confronted them, but they laughed it off and continued their behaviour. This is not the first time such incidents have happened at this location. Several other girls have complained informally about the same group. I request strict action and regular police presence to ensure women's safety. I am willing to assist with identification if the individuals are traced.",Eve Teasing
"I want to report continuous harassment I am facing from a senior at my workplace in Camp area. It started 10th of last month and has not stopped since then. A senior at my workplace keeps passing insulting comments about me in front of others. This morning around 8 am, this person again misbehaved with me near my house. I have asked them politely to stop, but they continue to trouble me. This is affecting my mental peace and I am scared to step out alone. I request the police to take strict action against the person responsible. I am ready to provide any further details required for the investigation.",Harassment
"I want to report that I am being harassed online through Snapchat. An unknown user has been sending me abusive and threatening messages since 2nd august. They have also created a fake profile using my photos without my consent. This person is messaging my friends and relatives with objectionable content about me. I have tried blocking the account, but new fake accounts keep appearing. This online harassment is causing me a lot of stress and embarrassment. I request cyber crime cell to trace the account and take strict action. I can share screenshots and chat history as proof of the harassment.",Cyber Harassment
"I want to report that my ex-husband is blackmailing me using an unknown phone number. Since for the past one month, this person has threatened to leak my private photos and information. They are demanding Rs. 20,000 in exchange for not making the content public. I have refused to pay, after which the threats have become more frequent. This blackmail has caused me severe mental stress and fear of social embarrassment. I have saved all the chat conversations and screenshots as evidence. I request the cyber crime department to investigate and take strict action. I am willing to cooperate fully to ensure this person is held accountable.",Blackmail
"I am being blackmailed by my colleague who is threatening to expose personal information about me. The blackmail attempts started 3rd of this month through messages on WhatsApp. They are asking for Rs. 8,000 failing which they threaten to defame me publicly. I have not given in to any of their demands so far. The mental pressure from these continuous threats is becoming unbearable. I have kept records of all the messages and calls related to this matter. I request immediate action to stop this blackmail and protect my privacy. Please advise on the legal steps I can take against this person.",Blackmail
"I am reporting an eve teasing incident that occurred near Dadar bus stop. Yesterday evening, an unknown man started teasing me and passing lewd remarks. They also tried to click photographs of me without my permission. I confronted them, but they laughed it off and continued their behaviour. This is not the first time such incidents have happened at this location. Several other girls have complained informally about the same group. I request strict action and regular police presence to ensure women's safety. I am willing to assist with identification if the individuals are traced.",Eve Teasing
"Someone on a fake email ID has been repeatedly sending me inappropriate messages and comments. This harassment began last friday and has increased in frequency recently. The person has also commented obscene things on my public posts. I tried to reason with them, but they continued with more vulgar messages. They also tagged my friends and family in embarrassing and false posts. I am extremely disturbed and unable to use social media peacefully anymore. I request that the account be tracked down and appropriate action be taken. I am attaching the necessary screenshots to support my complaint.",Cyber Harassment
"A person, identified as my classmate, has been stalking me for since the last two weeks now. Last night around 9 pm, they were seen standing near my college gate watching me. They repeatedly try to talk to me even after I have refused multiple times. My friends have also noticed this person following me on different days. This person seems to know my daily routine, which is very concerning. I fear this may escalate into something more dangerous if not stopped. I request that strict action be taken against this individual immediately. Please guide me on the next steps to ensure my safety.",Stalking
"Someone on a fake email ID has been repeatedly sending me inappropriate messages and comments. This harassment began since the last two weeks and has increased in frequency recently. The person has also commented obscene things on my public posts. I tried to reason with them, but they continued with more vulgar messages. They also tagged my friends and family in embarrassing and false posts. I am extremely disturbed and unable to use social media peacefully anymore. I request that the account be tracked down and appropriate action be taken. I am attaching the necessary screenshots to support my complaint.",Cyber Harassment
"I want to report domestic violence I am facing from my husband at my residence in Camp area. The physical and mental abuse has continued for 3rd of this month. I am often beaten and verbally abused over small household matters. They have also threatened to throw me out of the house without any support. My children have witnessed these incidents, which has affected them badly. I have tried to resolve this peacefully, but the abuse continues to escalate. I request protection and legal action against those responsible for this abuse. I am ready to provide medical records and witness statements if required.",Domestic Violence
"I want to raise a public safety concern regarding the condition of roads in Baner. There is an open manhole near the main road that has been uncovered since last friday. Several two-wheeler riders have already met with minor accidents at this spot. There are no warning signs or barricades placed around the hazardous area. At night, due to poor street lighting, the risk of accidents increases further. Local residents have raised this issue before, but no action has been taken. I request the concerned authorities to repair the manhole and ensure proper lighting. This is a serious public safety hazard that needs urgent attention.",Public Safety
"A person, identified as an unknown person, has been stalking me for for the past one month now. When i was coming back from the market, they were seen standing near my college gate watching me. They repeatedly try to talk to me even after I have refused multiple times. My friends have also noticed this person following me on different days. This person seems to know my daily routine, which is very concerning. I fear this may escalate into something more dangerous if not stopped. I request that strict action be taken against this individual immediately. Please guide me on the next steps to ensure my safety.",Stalking
"A person, identified as a shopkeeper nearby, has been stalking me for on the 18th now. Early this morning, they were seen standing near my college gate watching me. They repeatedly try to talk to me even after I have refused multiple times. My friends have also noticed this person following me on different days. This person seems to know my daily routine, which is very concerning. I fear this may escalate into something more dangerous if not stopped. I request that strict action be taken against this individual immediately. Please guide me on the next steps to ensure my safety.",Stalking
"I am reporting an eve teasing incident that occurred near Nashik Road bus stop. When i was coming back from the market, a man at the bus stop started teasing me and passing lewd remarks. They also tried to click photographs of me without my permission. I confronted them, but they laughed it off and continued their behaviour. This is not the first time such incidents have happened at this location. Several other girls have complained informally about the same group. I request strict action and regular police presence to ensure women's safety. I am willing to assist with identification if the individuals are traced.",Eve Teasing
"I am filing this complaint against my husband and his family for continuous domestic abuse at home. Since 2nd august, I have been subjected to physical assault and harassment. I am also denied basic necessities and confined to the house without reason. There have been repeated threats of violence whenever I try to speak up. My relatives are aware of the situation and can testify to the abuse. I fear for my safety and the safety of my children living with me. I request immediate protection and appropriate legal action under the law. Kindly guide me regarding shelter and legal support available for my situation.",Domestic Violence
"This is to report a theft incident involving household electronics in the Chinchwad locality. It occurred two days back, when I had briefly stepped away from the spot. On returning, I found that my belongings had been taken by someone unknown. The estimated loss is approximately Rs. 1,00,000, which is a significant amount for me. There were a few people nearby, but no one noticed the theft taking place. I have checked with nearby shops and residents, but there is no lead yet. I request that the case be registered and investigated at the earliest. I am willing to cooperate fully with the investigation process.",Theft
"I want to report a broken streetlight and damaged footpath in Wakad causing safety issues. This problem has persisted for for the past one month without any repair work being done. Elderly people and children find it very difficult to walk safely in this area. During the rains, the area gets waterlogged, increasing the risk of falls. There have been a few incidents of people slipping and getting injured here. I along with other residents request immediate repair of this public infrastructure. This poses a continuous risk to pedestrians and vehicles passing through daily. I request quick action from the municipal authorities to resolve this matter.",Public Safety
"This is to report a theft incident involving my two-wheeler in the Andheri locality. It occurred yesterday evening, when I had briefly stepped away from the spot. On returning, I found that my belongings had been taken by someone unknown. The estimated loss is approximately Rs. 8,000, which is a significant amount for me. There were a few people nearby, but no one noticed the theft taking place. I have checked with nearby shops and residents, but there is no lead yet. I request that the case be registered and investigated at the earliest. I am willing to cooperate fully with the investigation process.",Theft
"I am being blackmailed by an unidentified man who is threatening to expose personal information about me. The blackmail attempts started a few days ago through messages on an unknown phone number. They are asking for Rs. 20,000 failing which they threaten to defame me publicly. I have not given in to any of their demands so far. The mental pressure from these continuous threats is becoming unbearable. I have kept records of all the messages and calls related to this matter. I request immediate action to stop this blackmail and protect my privacy. Please advise on the legal steps I can take against this person.",Blackmail
"I want to report that I have received serious threats from my brother-in-law in Kalyan. Since 22nd june, this person has been threatening to harm me and my family. They have warned me of dire consequences if I do not comply with their demands. The threats have been made both in person and over phone calls. I am extremely worried about the safety of my family due to these threats. I have not responded to any of their demands, which has escalated their anger. I request police protection and immediate action against the person threatening me. I can provide call recordings and witness details to support this complaint.",Threat
"I want to report a broken streetlight and damaged footpath in Dadar causing safety issues. This problem has persisted for 10th of last month without any repair work being done. Elderly people and children find it very difficult to walk safely in this area. During the rains, the area gets waterlogged, increasing the risk of falls. There have been a few incidents of people slipping and getting injured here. I along with other residents request immediate repair of this public infrastructure. This poses a continuous risk to pedestrians and vehicles passing through daily. I request quick action from the municipal authorities to resolve this matter.",Public Safety
"I am filing this complaint against my in-laws for continuous domestic abuse at home. Since on the 18th, I have been subjected to physical assault and harassment. I am also denied basic necessities and confined to the house without reason. There have been repeated threats of violence whenever I try to speak up. My relatives are aware of the situation and can testify to the abuse. I fear for my safety and the safety of my children living with me. I request immediate protection and appropriate legal action under the law. Kindly guide me regarding shelter and legal support available for my situation.",Domestic Violence
"I want to report continuous harassment I am facing from my husband in Hadapsar. It started 10th of last month and has not stopped since then. My husband keeps passing insulting comments about me in front of others. Early this morning, this person again misbehaved with me near my house. I have asked them politely to stop, but they continue to trouble me. This is affecting my mental peace and I am scared to step out alone. I request the police to take strict action against the person responsible. I am ready to provide any further details required for the investigation.",Harassment
"I want to report that my landlord is blackmailing me using WhatsApp. Since 10th of last month, this person has threatened to leak my private photos and information. They are demanding Rs. 1,00,000 in exchange for not making the content public. I have refused to pay, after which the threats have become more frequent. This blackmail has caused me severe mental stress and fear of social embarrassment. I have saved all the chat conversations and screenshots as evidence. I request the cyber crime department to investigate and take strict action. I am willing to cooperate fully to ensure this person is held accountable.",Blackmail
"I want to report continuous harassment I am facing from a stranger in Kharadi. It started 15th July and has not stopped since then. A stranger keeps passing insulting comments about me in front of others. Around midnight, this person again misbehaved with me near my house. I have asked them politely to stop, but they continue to trouble me. This is affecting my mental peace and I am scared to step out alone. I request the police to take strict action against the person responsible. I am ready to provide any further details required for the investigation.",Harassment
